"VOCE","PROGETTO","ACRONIMO","ACRONIMO_AL1","ACRONIMO_AL2","TITOLO","TITOLO_AL1","TITOLO_AL2","TIPO_VOCE","TIPO","MODULO","STRINGA","PROFILO","VOCE_GUIDA","PROPRIETA","NOTE"
"AD4ABIFA","AD4","","","","F. A. Abilitazione","","","N","A","","","NULL","","",""
"AD4ABIL","AD4","","","","Abilitazione","","","N","M","","","NULL","","",""
"AD4ACELI","AD4","","","","Elimina accessi archiviati","","","F","A","","","NULL","","",""
"AD4AMBI","AD4","","","","Ambiente","","","F","C","","ad4web/AD4Ambiente.do","NULL","","",""
"AD4ARC","AD4","","","","Archivio","","","N","M","","","NULL","","",""
"AD4ARCFA","AD4","","","","F. A. Archivio","","","N","A","","","NULL","","",""
"AD4CAAC","AD4","","","","Caratteristiche Accesso","","","F","A","","ad4web/AD4CaratteristicheAccesso.do","NULL","","",""
"AD4CPPR","AD4","","","","Copia Profilo da altro utente","","","F","A","","ad4web/AD4CopiaProfilo.do","NULL","","",""
"AD4DIAC","AD4","","","","Diritti di Accesso","","","F","C","","ad4web/AD4UtenDiacElenco.do","NULL","","",""
"AD4DIACA","AD4","","","","Diritto Accesso","","","F","A","","ad4web/AD4DirittoAccesso.do","NULL","","",""
"AD4ENTIA","AD4","","","","Ente","","","F","A","","ad4web/AD4Ente.do","NULL","","",""
"AD4ENTIE","AD4","","","","Enti","","","F","C","","ad4web/AD4EntiRicerca.do","NULL","","",""
"AD4EVENA","AD4","","","","Evento","","","F","A","","ad4web/AD4Evento.do","NULL","","",""
"AD4EVENE","AD4","","","","Eventi","","","F","C","","ad4web/AD4EventiRicerca.do","NULL","","",""
"AD4FUN","AD4","","","","Funzionalita' aggiuntive AD4","","","N","A","","","NULL","","",""
"AD4GENPW","AD4","","","","Generazione Password casuale","","","F","A","","ad4web/AD4GeneraPwd.do","NULL","","",""
"AD4GRUGU","AD4","","","","Guida Gruppi","","","N","A","","","NULL","","",""
"AD4GRUPG","AD4","","","","Guida Gruppo","","","N","A","","","NULL","","",""
"AD4GRUPM","AD4","","","","Modifica Gruppo","","","F","A","","ad4web/AD4GruppoMod.do","NULL","","",""
"AD4GUIDE","AD4","","","","Guide AD4","","","N","A","","","NULL","","",""
"AD4ISTAA","AD4","","","","Istanza","","","F","A","","ad4web/AD4Istanza.do","NULL","","",""
"AD4LDAFA","AD4","","","","F. A. LDAP","","","N","A","","","NULL","","",""
"AD4LDAP","AD4","","","","Configurazione LDAP","","","N","M","","","NULL","","",""
"AD4LDAPC","AD4","","","","Parametri","","","F","C","","ad4web/AD4LdapConfig.do","NULL","","",""
"AD4LDAPG","AD4","","","","Collegamento Gruppi","","","F","C","","ad4web/AD4LdapGruppi.do","NULL","","",""
"AD4LDAPM","AD4","","","","Collegamento Gruppo Ad4 - LDAP","","","F","A","","ad4web/AD4LdapGruppo.do","NULL","","",""
"AD4MODUA","AD4","","","","Modulo","","","F","A","","ad4web/AD4Modulo.do","NULL","","",""
"AD4OMOA","AD4","","","","Gestione Omonima Utenti","","","F","A","","ad4web/AD4Omonimia.do","NULL","","",""
"AD4PARIA","AD4","","","","Modifica Parametri Aggiuntivi","","","F","A","","ad4web/AD4ModParametri.do","NULL","","",""
"AD4PROG","AD4","","","","Progetti","","","F","C","","ad4web/AD4ProgettiRicerca.do","NULL","","",""
"AD4PROGG","AD4","","","","Guida Progetto","","","N","A","","","NULL","","",""
"AD4RIABA","AD4","","","","Richiesta Abilitazione","","","F","A","","ad4web/AD4Richiesta.do","NULL","","",""
"AD4RICHN","AD4","","","","Modifica Notifica Richiesta","","","F","A","","ad4web/AD4RichiestaNotifica.do","NULL","","",""
"AD4RICHP","AD4","","","","Parametri Richiesta","","","F","A","","ad4web/AD4RichiestaParametri.do","NULL","","",""
"AD4RUOLA","AD4","","","","Ruolo","","","F","A","","ad4web/AD4Ruolo.do","NULL","","",""
"AD4RUOLE","AD4","","","","Ruoli","","","F","C","","ad4web/AD4RuoliRicerca.do","NULL","","",""
"AD4SERAF","AD4","","","","F. A. Servizi","","","N","A","","","NULL","","",""
"AD4SERME","AD4","","","","Servizi","","","N","M","","","NULL","","",""
"AD4SERVA","AD4","","","","Servizio","","","F","A","","ad4web/AD4Servizio.do","NULL","","",""
"AD4SOGG","AD4","","","","Soggetti","","","F","C","","ad4web/AD4SoggRicerca.do","NULL","","",""
"AD4SOGGA","AD4","","","","Soggetto","","","F","A","","ad4web/AD4Soggetto.do","NULL","","",""
"AD4STRIN","AD4","","","","Stringa","","","F","A","","ad4web/AD4Stringa.do","NULL","","",""
"AD4UNPR","AD4","","","","Unifica Profilo con altro utente","","","F","A","","ad4web/AD4UnificaProfilo.do","NULL","","",""
"AD4USJOA","AD4","","","","Elaborazione differita","","","F","A","","ad4web/AD4UserJob.do","NULL","","",""
"AD4USJOE","AD4","","","","Elaborazioni differite","","","F","C","","ad4web/AD4UsjoElenco.do","NULL","","",""
"AD4UTENE","AD4","","","","Utenti","","","F","C","","ad4web/AD4UtentiRicerca.do","NULL","","",""
"AD4UTENG","AD4","","","","Guida Utente","","","N","A","","","NULL","","",""
"ad4diziB","AD4","","","","Dizionari Banche e Sportelli","","","F","C","","restrict/Ad4DizionariBanche.do?MVPG=Ad4DizionariBancheElenco","NULL","","",""
"ad4diziC","AD4","","","","Dizionari Comuni","","","F","C","","restrict/Ad4DizionariComuni.do?MVPG=Ad4DizionariRegioniElenco","NULL","","",""
"adm","AD4","","","","Amministrazione","","","N","M","","","NULL","","","title=Funzioni di Amministrazione del Portale"
"admgrupu","AD4","","","","Utenti di un gruppo","","","F","A","","amvadm/AdmGruppoUtenti.do","NULL","","",""
"admguida","AD4","","","","Modifica guide","","","F","A","","amvadm/AdmGuide.do","NULL","","",""
"admguide","AD4","","","","Guide Amministratore","","","N","A","","","NULL","","",""
"admmenu","AD4","","","","Funzioni","","","F","C","","amvadm/AdmMenu.do","NULL","","","title=Manutenzione Menu Funzioni del Portale"
"admmenug","AD4","","","","Funzionalita aggiuntive menu","","","N","A","","","NULL","","",""
"admpref","AD4","","","","Preferenze","","","F","C","","amvadm/AdmPreferenzeImpostazione.do","NULL","","","title=Impostazioni del Portale"
"admricha","AD4","","","","Aggiornamento richiesta","","","F","A","","amvadm/AdmRichiesta.do","NULL","","",""
"admriche","AD4","","","","Richieste","","","F","C","","amvadm/AdmRichieste.do","NULL","","","title=Amministrazione richieste di abilitazione ai servizi"
"admrichn","AD4","","","","Aggiornamento notifica richiesta","","","F","A","","amvadm/AdmRichiestaNotifica.do","NULL","","",""
"admrichp","AD4","","","","Revisione parametri richiesta","","","F","A","","amvadm/AdmRichiestaParametri.do","NULL","","",""
"admservg","AD4","","","","Funzionalita aggiuntive servizi","","","N","A","","","NULL","","",""
"admuteni","AD4","","","","Dati di un utente","","","F","A","","amvadm/AdmUtenteDatiInfo.do","NULL","","","title=Informazioni sull'account dell'utente"
"amvdenie","AD4","","","","Denied","","","F","A","","common/Denied.do","NULL","","",""
"amvdocur","AD4","","","","Documenti","","","F","C","","common/AmvDocumentiRicerca.do","NULL","","","title=Area contenuti del portale"
"amvguide","AD4","","","","Funzionalita aggiuntive","","","N","A","","","NULL","","",""
"amvlogin","AD4","","","","Login al Portale","","","F","A","","common/Login.do","NULL","","",""
"amvloslo","AD4","","","","Dimenticata username e/o password","","","F","A","","common/AmvLostLogin.do","NULL","","",""
"amvmodpw","AD4","","","","Modifica Password","","","F","A","","common/AmvModificaPassword.do","NULL","","",""
"amvprefn","AD4","","","","Notifiche","","","F","A","","restrict/AmvPreferenzeNotifiche.do","NULL","","",""
"amvprofg","AD4","","","","Guida del Profilo","","","F","A","","","NULL","","",""
"amvregi","AD4","","","","Registrazione","","","F","A","","common/AmvRegistrazioneInizio.do","NULL","","",""
"amvricel","AD4","","","","Tutte le richieste","","","F","A","","restrict/AmvRichiesteElenco.do","NULL","","",""
"amvricfr","AD4","","","","Le mie richieste","","","F","A","","restrict/AmvRichiesteAutore.do","NULL","","",""
"amvsez","AD4","","","","Sezione","","","F","A","","common/AmvSezione.do","NULL","","",""
"amvsvlmo","AD4","","","","Servlet Modulistica","","","F","A","","restrict/ServletModulistica.do","NULL","","",""
"amvutepw","AD4","","","","Password utente","","","F","A","","restrict/AmvUtentePassword.do","NULL","","",""
"admc","AD4","","","","Contenuti","","","N","M","","","NULL","","",""
"admcont","AD4","","","","Documenti","","","F","C","","amvadm/AdmContenuti.do","NULL","","",""
"admclass","AD4","","","","Classificazioni","","","N","M","","","NULL","","",""
"admargo","AD4","","","","Argomenti","","","F","C","","amvadm/AdmArgomenti.do","NULL","","",""
"admcate","AD4","","","","Categorie","","","F","C","","amvadm/AdmCategorie.do","NULL","","",""
"admdiri","AD4","","","","Diritti Accesso","","","F","C","","amvadm/AdmDiritti.do","NULL","","",""
"admrev","AD4","","","","Documento","","","F","A","","amvadm/AdmDocumento.do","NULL","","",""
"admrile","AD4","","","","Rilevanze","","","F","C","","amvadm/AdmRilevanze.do","NULL","","",""
"admtipo","AD4","","","","Tipologie","","","F","C","","amvadm/AdmTipologie.do","NULL","","",""
"admsezio","AD4","","","","Sezioni","","","F","C","","amvadm/AdmSezioni.do","NULL","","",""
"admrev1","AD4","","","","Completa Redazione","","","F","A","","amvadm/AdmRevisioneRedazione.do","NULL","","",""
"admrev2","AD4","","","","Completa Verifica","","","F","A","","amvadm/AdmRevisioneVerifica.do","NULL","","",""
"admrev3","AD4","","","","Approva Revisione","","","F","A","","amvadm/AdmRevisioneApprova.do","NULL","","",""
"admrev4","AD4","","","","Pubblica Revisione","","","F","A","","amvadm/AdmRevisionePubblica.do","NULL","","",""
"admrev5","AD4","","","","Sottoponi a nuova redazione","","","F","A","","amvadm/AdmRevisioneRespingi.do","NULL","","",""
"admrev6","AD4","","","","Storico Revisioni","","","F","A","","amvadm/AdmRevisioniStorico.do","NULL","","",""
"admrevel","AD4","","","","Revisioni in corso","","","F","C","","amvadm/AdmRevisioniElenco.do","NULL","","","title=Revisione dei contenuti del portale"
"admrevm","AD4","","","","Revisioni (menu non visibile)","","","N","A","","","NULL","","",""
"admrev0","AD4","","","","Nuova Revisione","","","F","A","","amvadm/AdmRevisioneNuova.do","NULL","","",""
"amvacced","AD4","","","","Accesso aree documentali","","","F","A","","restrict/AmvAccessiAreeDoc.do","NULL","amvprofg","",""
"amvuted","AD4","","","","Dati dell'utente","","","F","A","","restrict/AmvUtenteDatiInfo.do","NULL","amvprofg","",""
"amvserv","AD4","","","","Servizi","","","F","A","","restrict/AmvServizi.do","NULL","amvprofg","",""
"amvuter","AD4","","","","Recapito dell'utente","","","F","A","","restrict/AmvUtenteRecapitoInfo.do","NULL","amvprofg","",""
"amvacce","AD4","","","","Accessi","","","F","A","","restrict/AmvAccessi.do","NULL","amvprofg","",""
"amvprefs","AD4","","","","Preferenze Stile","","","F","A","","restrict/AmvPreferenzeStile.do","NULL","amvprofg","",""
"amvnoti","AD4","","","","Preferenze Notifiche","","","F","A","","restrict/AmvNotifiche.do","NULL","amvprofg","",""
"amvacceu","AD4","","","","Ultimi Accessi","","","F","A","","restrict/AmvUltimiAccessi.do","NULL","amvprofg","",""
"amvprof","AD4","","","","Profilo Utente","","","F","A","","restrict/AmvProfilo.do","NULL","amvprofg","","title=Informazioni di Account dell'utente"
"AD4DIACE","AD4","","","","Accessi Utente","","","F","A","","ad4web/AD4DiacElenco.do","NULL","AD4UTENG","",""
"AD4GRUTE","AD4","","","","Appartenenza Utente","","","F","A","","ad4web/AD4GrupElenco.do","NULL","AD4UTENG","",""
"AD4UTENA","AD4","","","","Utente","","","F","A","","ad4web/AD4Utente.do","NULL","AD4UTENG","",""
"AD4RIABE","AD4","","","","Richieste di Abilitazione Utente","","","F","A","","../../ad4web/amvadm/AdmRichieste.do","NULL","AD4UTENG","",""
"AD4SERV","AD4","","","","Servizi","","","F","A","","ad4web/AD4ServElenco.do","NULL","AD4PROGG","",""
"AD4PROGA","AD4","","","","Progetto","","","F","A","","ad4web/AD4Progetto.do","NULL","AD4PROGG","",""
"AD4MODU","AD4","","","","Moduli","","","F","A","","ad4web/AD4ModuElenco.do","NULL","AD4PROGG","",""
"AD4ISTA","AD4","","","","Istanze","","","F","A","","ad4web/AD4IstaElenco.do","NULL","AD4PROGG","",""
"AD4ACCEG","AD4","","","","Guida Accessi","","","N","A","","","NULL","AD4GUIDE","",""
"AD4DIACG","AD4","","","","Accessi del Gruppo","","","F","A","","ad4web/AD4DiacElenco.do","NULL","AD4GRUPG","",""
"AD4GRUPA","AD4","","","","Gruppo","","","F","A","","ad4web/AD4Gruppo.do","NULL","AD4GRUPG","",""
"AD4GRUTG","AD4","","","","Appartenenza Gruppo","","","F","A","","ad4web/AD4GrupElenco.do","NULL","AD4GRUPG","",""
"AD4GRUPE","AD4","","","","Gruppi","","","F","C","","ad4web/AD4GruppiRicerca.do","NULL","AD4GRUGU","",""
"AD4GRUPT","AD4","","","","Struttura Gruppi","","","F","A","","ad4web/AD4GruppiTree.do","NULL","AD4GRUGU","",""
"AD4ACCEE","AD4","","","","Ricerca Accessi","","","F","A","","ad4web/AD4AccessiRicerca.do","NULL","AD4ACCEG","",""
"AD4ACCET","AD4","","","","Accessi","","","F","C","","ad4web/AD4AccessiTree.do","NULL","AD4ACCEG","","ad4web/AD4AccessiRicerca.do"
"admuteng","AD4","","","","Gruppi di un utente","","","F","A","","amvadm/AdmUtenteGruppi.do","NULL","admuteni","",""
"admutena","AD4","","","","Accessi utente","","","F","A","","amvadm/AdmUtenteUltimiAccessi.do","NULL","admuteni","",""
"admuteca","AD4","","","","Profilo accesso utente","","","F","A","","amvadm/AdmUtenteAccessi.do","NULL","admuteni","",""
"admutenr","AD4","","","","Richieste di un utente","","","F","A","","amvadm/AdmUtenteRichiesteElenco.do","NULL","admuteni","",""
"admuten","AD4","","","","Utenti","","","F","C","","amvadm/AdmUtentiElenco.do","NULL","admservg","","title=Gestione degli utenti che hanno accesso ai servizi"
"admgrup","AD4","","","","Gruppi","","","F","C","","amvadm/AdmGruppiElenco.do","NULL","admservg","","title=Gestione Gruppi di Utenti che hanno accesso ai servizi"
"admacce","AD4","","","","Accessi","","","F","A","","amvadm/AdmAccessi.do","NULL","admservg","",""
"admaree","AD4","","","","Aree di accesso","","","F","A","","amvadm/AdmAree.do","NULL","admdiri","",""